epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0963,1.27552,5.0105,0.0071,0.30274,0.12454,0.05762,0.04016,1.00718,2.74618,0.00651,0.000138178,0.000138178,0.000138178
2,64.3031,1.20802,3.72401,0.00652,0.32112,0.31811,0.22908,0.15631,1.03846,1.95805,0.00662,0.000275805,0.000275805,0.000275805
3,93.8622,1.17737,2.98719,0.00642,0.39735,0.44792,0.42296,0.30551,0.9708,1.43906,0.00623,0.000412057,0.000412057,0.000412057
4,123.172,1.15283,2.50079,0.00616,0.55367,0.58076,0.57249,0.42232,0.94499,1.15984,0.00599,0.000410808,0.000410808,0.000410808
5,152.615,1.13102,2.17594,0.00602,0.55178,0.63547,0.63625,0.46852,0.96277,1.06303,0.00609,0.000408743,0.000408743,0.000408743
6,182,1.09725,1.87122,0.00589,0.6243,0.67734,0.70707,0.53025,0.9207,0.97249,0.00583,0.000406679,0.000406679,0.000406679
7,211.507,1.09025,1.69121,0.00578,0.66113,0.71317,0.75151,0.56354,0.89476,0.89057,0.00565,0.000404615,0.000404615,0.000404615
8,240.785,1.08646,1.53529,0.00582,0.7268,0.7476,0.80924,0.60724,0.90414,0.79191,0.00576,0.000402551,0.000402551,0.000402551
9,270.291,1.06399,1.40614,0.00576,0.71147,0.78245,0.82504,0.63031,0.88474,0.73989,0.00559,0.000400487,0.000400487,0.000400487
10,299.622,1.05591,1.28539,0.0057,0.74604,0.78279,0.83879,0.64183,0.87256,0.71908,0.0055,0.000398423,0.000398423,0.000398423
11,329.49,1.04242,1.18861,0.00547,0.78329,0.77164,0.84148,0.64763,0.8628,0.68434,0.00546,0.000396358,0.000396358,0.000396358
12,359.175,1.04616,1.13703,0.00554,0.77031,0.80978,0.85785,0.66208,0.86282,0.65736,0.00543,0.000394294,0.000394294,0.000394294
13,388.678,1.014,1.03885,0.00543,0.78717,0.81991,0.87238,0.67491,0.85346,0.62792,0.00538,0.00039223,0.00039223,0.00039223
14,418.078,1.00775,0.98458,0.00531,0.81903,0.81385,0.87844,0.68492,0.83031,0.58587,0.0052,0.000390166,0.000390166,0.000390166
15,447.418,1.01882,0.95801,0.00543,0.81977,0.81846,0.88445,0.69316,0.85233,0.57915,0.00541,0.000388102,0.000388102,0.000388102
16,476.928,1.01921,0.92868,0.00533,0.82043,0.83954,0.88385,0.68312,0.86685,0.58926,0.00547,0.000386038,0.000386038,0.000386038
17,506.463,0.99818,0.90282,0.00529,0.83127,0.84391,0.90237,0.7078,0.82485,0.54812,0.00518,0.000383974,0.000383974,0.000383974
18,535.968,0.99177,0.85684,0.0052,0.8543,0.83495,0.90883,0.7066,0.84542,0.52851,0.00537,0.000381909,0.000381909,0.000381909
19,565.411,0.97894,0.8205,0.0052,0.87595,0.85505,0.92229,0.72581,0.81744,0.49489,0.0051,0.000379845,0.000379845,0.000379845
20,594.876,0.97696,0.79539,0.00523,0.88593,0.85215,0.92963,0.73215,0.83542,0.48377,0.00526,0.000377781,0.000377781,0.000377781
21,624.195,0.97836,0.77741,0.00519,0.8799,0.86863,0.92557,0.73065,0.81621,0.48779,0.00513,0.000375717,0.000375717,0.000375717
22,653.733,0.96582,0.74007,0.0051,0.89581,0.87087,0.93729,0.74147,0.81243,0.46442,0.00513,0.000373653,0.000373653,0.000373653
23,683.457,0.9712,0.71832,0.00509,0.87623,0.87345,0.93479,0.73473,0.83332,0.45603,0.00524,0.000371589,0.000371589,0.000371589
24,713.058,0.96114,0.71637,0.0051,0.88657,0.87152,0.9317,0.73114,0.83107,0.46805,0.00518,0.000369525,0.000369525,0.000369525
25,742.538,0.96986,0.69761,0.00507,0.87208,0.8809,0.94083,0.75258,0.79386,0.43709,0.00497,0.00036746,0.00036746,0.00036746
26,771.951,0.95693,0.68411,0.0051,0.87626,0.89319,0.94061,0.74425,0.81237,0.44213,0.00507,0.000365396,0.000365396,0.000365396
27,801.482,0.9403,0.65938,0.00497,0.87302,0.89607,0.93522,0.74657,0.80578,0.44716,0.00506,0.000363332,0.000363332,0.000363332
28,830.81,0.94345,0.65997,0.00498,0.88191,0.88731,0.93493,0.74046,0.80916,0.44367,0.00506,0.000361268,0.000361268,0.000361268
29,860.246,0.9464,0.62969,0.00496,0.89875,0.88335,0.94143,0.74815,0.80055,0.42,0.00503,0.000359204,0.000359204,0.000359204
30,889.794,0.95075,0.63644,0.00502,0.90069,0.90276,0.9517,0.7569,0.80337,0.40482,0.00502,0.00035714,0.00035714,0.00035714
31,919.172,0.93618,0.61523,0.00489,0.91273,0.88156,0.94531,0.75339,0.79863,0.4099,0.00502,0.000355076,0.000355076,0.000355076
32,948.607,0.92189,0.58702,0.00479,0.90273,0.90727,0.95121,0.7617,0.7821,0.39106,0.00488,0.000353011,0.000353011,0.000353011
33,977.95,0.92826,0.60102,0.00487,0.90313,0.90289,0.94553,0.75278,0.79365,0.40256,0.00499,0.000350947,0.000350947,0.000350947
34,1007.26,0.91393,0.59079,0.00475,0.91363,0.90258,0.95089,0.75957,0.78565,0.38773,0.00491,0.000348883,0.000348883,0.000348883
35,1036.82,0.91539,0.58262,0.00478,0.91406,0.91004,0.95676,0.76408,0.79773,0.37795,0.00497,0.000346819,0.000346819,0.000346819
36,1066.79,0.92072,0.5745,0.00474,0.91663,0.91589,0.95739,0.76886,0.78393,0.36882,0.00488,0.000344755,0.000344755,0.000344755
37,1096.29,0.90631,0.55335,0.00478,0.91392,0.91556,0.95656,0.76069,0.80199,0.3859,0.00499,0.000342691,0.000342691,0.000342691
38,1125.71,0.90697,0.54501,0.00467,0.92448,0.92305,0.96454,0.77584,0.7767,0.36445,0.00484,0.000340626,0.000340626,0.000340626
39,1154.95,0.91096,0.54441,0.00474,0.92618,0.91203,0.95555,0.75585,0.81517,0.38765,0.00506,0.000338562,0.000338562,0.000338562
40,1184.35,0.89458,0.5385,0.00467,0.92367,0.93175,0.96445,0.77227,0.79316,0.3552,0.00497,0.000336498,0.000336498,0.000336498
41,1213.75,0.89791,0.5462,0.00468,0.92594,0.90795,0.95673,0.77191,0.78698,0.36331,0.00493,0.000334434,0.000334434,0.000334434
42,1243.23,0.89981,0.52374,0.00472,0.92324,0.92517,0.96142,0.77465,0.78667,0.36109,0.00489,0.00033237,0.00033237,0.00033237
43,1272.6,0.89436,0.51367,0.00464,0.93167,0.91947,0.96549,0.77292,0.79363,0.35227,0.00498,0.000330306,0.000330306,0.000330306
44,1301.91,0.89467,0.51138,0.00465,0.93506,0.9274,0.96839,0.78447,0.78361,0.33881,0.00493,0.000328242,0.000328242,0.000328242
45,1331.37,0.88291,0.51185,0.00466,0.9326,0.91303,0.9604,0.77103,0.78843,0.36023,0.00491,0.000326177,0.000326177,0.000326177
46,1360.67,0.88357,0.50732,0.00466,0.93917,0.91868,0.96852,0.77765,0.78568,0.35513,0.00489,0.000324113,0.000324113,0.000324113
47,1390.08,0.88983,0.49968,0.00461,0.93856,0.91883,0.96659,0.77864,0.78022,0.34556,0.00486,0.000322049,0.000322049,0.000322049
48,1419.95,0.87057,0.48197,0.00461,0.9408,0.91077,0.96353,0.77723,0.78019,0.34988,0.00487,0.000319985,0.000319985,0.000319985
49,1449.24,0.87028,0.49305,0.00453,0.91958,0.94153,0.97011,0.78133,0.78448,0.34277,0.0049,0.000317921,0.000317921,0.000317921
50,1478.73,0.87332,0.48719,0.00463,0.93377,0.91972,0.95987,0.77214,0.78893,0.35586,0.00492,0.000315857,0.000315857,0.000315857
51,1508.04,0.87914,0.48989,0.00468,0.93521,0.91894,0.96006,0.77188,0.77883,0.35137,0.00485,0.000313792,0.000313792,0.000313792
52,1537.39,0.88322,0.48442,0.00457,0.91649,0.93028,0.95766,0.77853,0.77112,0.35835,0.00485,0.000311728,0.000311728,0.000311728
53,1566.84,0.86711,0.48396,0.00456,0.93302,0.92274,0.96435,0.78597,0.76715,0.34272,0.00478,0.000309664,0.000309664,0.000309664
54,1596.19,0.86901,0.46828,0.0045,0.93108,0.92677,0.96742,0.78152,0.77537,0.34252,0.00484,0.0003076,0.0003076,0.0003076
55,1625.6,0.8667,0.46985,0.00453,0.93239,0.92826,0.96194,0.77695,0.77954,0.34455,0.00484,0.000305536,0.000305536,0.000305536
56,1656.33,0.86276,0.46536,0.00449,0.93562,0.92889,0.96627,0.78091,0.77039,0.33787,0.0048,0.000303472,0.000303472,0.000303472
57,1685.72,0.86074,0.45907,0.0045,0.93642,0.94145,0.96414,0.7832,0.76863,0.33963,0.00477,0.000301408,0.000301408,0.000301408
58,1714.99,0.8619,0.45577,0.00453,0.94234,0.93919,0.96974,0.78705,0.76749,0.33305,0.00476,0.000299343,0.000299343,0.000299343
59,1744.46,0.85179,0.45689,0.00443,0.94587,0.93133,0.97174,0.78338,0.77668,0.32693,0.00481,0.000297279,0.000297279,0.000297279
60,1774.02,0.85978,0.45518,0.00446,0.94295,0.93134,0.96797,0.78339,0.76898,0.33939,0.00477,0.000295215,0.000295215,0.000295215
61,1803.52,0.85711,0.4521,0.00454,0.93815,0.93335,0.96645,0.78506,0.76338,0.32721,0.00476,0.000293151,0.000293151,0.000293151
62,1832.99,0.84601,0.43686,0.00453,0.9529,0.9248,0.96913,0.78881,0.76555,0.33469,0.00478,0.000291087,0.000291087,0.000291087
63,1862.26,0.85191,0.44322,0.0044,0.95581,0.92832,0.97321,0.7915,0.77154,0.31709,0.00478,0.000289023,0.000289023,0.000289023
64,1891.65,0.84908,0.43391,0.00445,0.94249,0.9378,0.97155,0.78958,0.76301,0.32323,0.00475,0.000286959,0.000286959,0.000286959
65,1920.97,0.83617,0.43142,0.00434,0.95024,0.93437,0.97642,0.78959,0.77706,0.32051,0.00482,0.000284894,0.000284894,0.000284894
