epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.659,1.40562,3.72395,1.19661,0.10784,0.33521,0.14227,0.0988,1.09831,2.355,1.06875,0.000138178,0.000138178,0.000138178
2,45.641,1.22979,2.5058,1.10552,0.27593,0.52405,0.34875,0.2452,1.02614,1.73125,1.00869,0.000275805,0.000275805,0.000275805
3,67.5686,1.14986,2.01356,1.08286,0.49196,0.58817,0.5172,0.36616,0.99862,1.41596,1.02614,0.000412057,0.000412057,0.000412057
4,89.201,1.10573,1.7144,1.06269,0.61919,0.66601,0.64638,0.46269,0.97532,1.22941,1.01664,0.000410808,0.000410808,0.000410808
5,110.565,1.08259,1.58898,1.04892,0.64494,0.75041,0.74416,0.55211,0.92792,1.1204,0.97803,0.000408743,0.000408743,0.000408743
6,131.872,1.05658,1.40178,1.03909,0.67382,0.78996,0.78278,0.58443,0.90733,0.99887,0.96248,0.000406679,0.000406679,0.000406679
7,155.423,1.0358,1.29999,1.02766,0.72548,0.77014,0.81785,0.60812,0.90736,0.91442,0.97071,0.000404615,0.000404615,0.000404615
8,178.169,1.03126,1.2221,1.03437,0.80237,0.79924,0.86479,0.64687,0.89789,0.79231,0.96167,0.000402551,0.000402551,0.000402551
9,201.066,1.00955,1.16197,1.025,0.83039,0.82961,0.89235,0.67143,0.8798,0.7564,0.9571,0.000400487,0.000400487,0.000400487
10,224.155,1.00685,1.08602,1.01977,0.83347,0.84425,0.90345,0.68472,0.86983,0.73195,0.94409,0.000398423,0.000398423,0.000398423
11,247.21,0.98754,1.02449,1.00658,0.85627,0.86817,0.91102,0.69002,0.87097,0.69259,0.94752,0.000396358,0.000396358,0.000396358
12,270.186,0.98662,1.00882,1.01076,0.85538,0.84153,0.91208,0.69477,0.85928,0.70245,0.94913,0.000394294,0.000394294,0.000394294
13,293.046,0.97376,0.95308,1.00348,0.88435,0.85483,0.93418,0.71322,0.86271,0.6419,0.93864,0.00039223,0.00039223,0.00039223
14,316.351,0.95824,0.91764,0.99685,0.87715,0.86833,0.93045,0.72145,0.8402,0.64435,0.93631,0.000390166,0.000390166,0.000390166
15,339.563,0.96385,0.8948,0.99871,0.88471,0.89926,0.93235,0.71231,0.87799,0.62911,0.94083,0.000388102,0.000388102,0.000388102
16,365.203,0.96226,0.87212,0.9968,0.87691,0.89222,0.94126,0.72644,0.85158,0.61681,0.94055,0.000386038,0.000386038,0.000386038
17,389.308,0.94732,0.8445,0.99608,0.88882,0.88122,0.93799,0.7224,0.84626,0.59991,0.94161,0.000383974,0.000383974,0.000383974
18,412.578,0.93866,0.81942,0.9879,0.90427,0.90138,0.94394,0.72867,0.84573,0.58087,0.94144,0.000381909,0.000381909,0.000381909
19,434.908,0.93395,0.79672,0.99143,0.91491,0.90811,0.955,0.74022,0.83885,0.56139,0.93253,0.000379845,0.000379845,0.000379845
20,457.023,0.92304,0.76994,0.98477,0.92727,0.89707,0.95176,0.74044,0.82944,0.55073,0.92743,0.000377781,0.000377781,0.000377781
21,480.074,0.92412,0.76072,0.98582,0.92079,0.9032,0.95297,0.73767,0.83248,0.56088,0.93137,0.000375717,0.000375717,0.000375717
22,503.041,0.91675,0.74692,0.98126,0.91213,0.917,0.95847,0.74307,0.83359,0.54092,0.9319,0.000373653,0.000373653,0.000373653
23,526.005,0.91658,0.73567,0.9815,0.92473,0.92652,0.96626,0.75179,0.82943,0.51992,0.93118,0.000371589,0.000371589,0.000371589
24,548.771,0.91424,0.74095,0.98481,0.9192,0.91706,0.96366,0.75398,0.82506,0.53393,0.93126,0.000369525,0.000369525,0.000369525
25,571.278,0.91534,0.71461,0.98261,0.91379,0.91939,0.958,0.75216,0.81672,0.51957,0.92263,0.00036746,0.00036746,0.00036746
26,593.618,0.91301,0.7107,0.98285,0.92556,0.92578,0.96662,0.75769,0.83279,0.521,0.92934,0.000365396,0.000365396,0.000365396
27,615.15,0.90338,0.6802,0.97832,0.93278,0.90329,0.95714,0.75407,0.81822,0.51524,0.92528,0.000363332,0.000363332,0.000363332
28,637.287,0.89949,0.67973,0.97595,0.92469,0.92272,0.96272,0.75317,0.81895,0.50528,0.92655,0.000361268,0.000361268,0.000361268
29,659.193,0.9055,0.67695,0.97962,0.92839,0.91848,0.95245,0.74654,0.81286,0.50671,0.9306,0.000359204,0.000359204,0.000359204
30,681.17,0.89878,0.66253,0.98069,0.93161,0.92928,0.96912,0.76502,0.81153,0.47899,0.92279,0.00035714,0.00035714,0.00035714
31,702.96,0.89141,0.65625,0.97237,0.92956,0.91738,0.9679,0.7542,0.81717,0.50664,0.93287,0.000355076,0.000355076,0.000355076
32,724.885,0.88501,0.64163,0.96897,0.93932,0.91775,0.96644,0.76098,0.81489,0.48778,0.93064,0.000353011,0.000353011,0.000353011
33,746.838,0.88174,0.65826,0.97139,0.93485,0.93386,0.96447,0.75741,0.81511,0.49152,0.93423,0.000350947,0.000350947,0.000350947
34,768.551,0.87423,0.63734,0.96717,0.94854,0.93324,0.97576,0.75645,0.82109,0.47197,0.93755,0.000348883,0.000348883,0.000348883
35,790.264,0.87623,0.63182,0.96607,0.9459,0.91654,0.96975,0.76189,0.81575,0.48673,0.93261,0.000346819,0.000346819,0.000346819
36,812.234,0.87898,0.63031,0.96733,0.95019,0.93122,0.96608,0.75421,0.81853,0.47882,0.93823,0.000344755,0.000344755,0.000344755
37,834.298,0.86125,0.60901,0.96542,0.95114,0.92516,0.96674,0.76383,0.80681,0.47777,0.92516,0.000342691,0.000342691,0.000342691
38,856.468,0.87245,0.61098,0.96572,0.948,0.93491,0.97005,0.76554,0.80481,0.4603,0.92759,0.000340626,0.000340626,0.000340626
39,878.383,0.8737,0.60745,0.96594,0.93491,0.93909,0.96181,0.75673,0.81016,0.4694,0.9297,0.000338562,0.000338562,0.000338562
40,900.3,0.86475,0.60332,0.96404,0.93684,0.94109,0.97451,0.76281,0.82604,0.47329,0.93487,0.000336498,0.000336498,0.000336498
41,922.149,0.86276,0.59764,0.96568,0.94269,0.95041,0.97052,0.76799,0.80666,0.45595,0.92553,0.000334434,0.000334434,0.000334434
42,944.05,0.85871,0.60059,0.96391,0.93638,0.9409,0.97067,0.76627,0.80709,0.46481,0.92463,0.00033237,0.00033237,0.00033237
43,965.851,0.85551,0.59095,0.96051,0.93251,0.94415,0.96937,0.76731,0.81495,0.46687,0.93265,0.000330306,0.000330306,0.000330306
44,987.716,0.85605,0.58184,0.96303,0.95051,0.93157,0.97128,0.76963,0.80566,0.4578,0.92867,0.000328242,0.000328242,0.000328242
45,1009.78,0.85103,0.57767,0.96096,0.94057,0.95024,0.97597,0.77413,0.79323,0.44257,0.92402,0.000326177,0.000326177,0.000326177
46,1031.87,0.85104,0.57065,0.96311,0.95757,0.9423,0.97889,0.77304,0.80514,0.43478,0.92786,0.000324113,0.000324113,0.000324113
47,1053.47,0.84805,0.56828,0.95914,0.95303,0.94116,0.97246,0.76991,0.80942,0.44107,0.92618,0.000322049,0.000322049,0.000322049
48,1075.07,0.83905,0.54895,0.95691,0.94597,0.94462,0.97585,0.77393,0.79535,0.44005,0.92505,0.000319985,0.000319985,0.000319985
49,1096.82,0.84198,0.55736,0.95765,0.94216,0.95107,0.97519,0.7725,0.79612,0.44027,0.9271,0.000317921,0.000317921,0.000317921
50,1118.56,0.83736,0.55284,0.95788,0.95044,0.95317,0.9804,0.7781,0.79472,0.43097,0.92554,0.000315857,0.000315857,0.000315857
51,1140.13,0.84104,0.56187,0.96188,0.94779,0.952,0.97725,0.77686,0.79363,0.43498,0.92754,0.000313792,0.000313792,0.000313792
52,1161.95,0.84094,0.55092,0.9564,0.9491,0.9387,0.97083,0.77226,0.80097,0.44455,0.92399,0.000311728,0.000311728,0.000311728
53,1184.25,0.83097,0.5463,0.95458,0.95435,0.95034,0.97949,0.77898,0.7945,0.42697,0.92264,0.000309664,0.000309664,0.000309664
54,1206.66,0.83405,0.54322,0.95153,0.95343,0.94778,0.97539,0.77896,0.78326,0.42642,0.92005,0.0003076,0.0003076,0.0003076
55,1229.36,0.83183,0.54612,0.95511,0.95562,0.94942,0.97905,0.78121,0.78886,0.42623,0.92432,0.000305536,0.000305536,0.000305536
56,1252.37,0.82518,0.54021,0.95143,0.9547,0.95688,0.98293,0.78519,0.78668,0.41328,0.92403,0.000303472,0.000303472,0.000303472
57,1275.32,0.83235,0.54395,0.95447,0.95391,0.94854,0.97486,0.77215,0.79356,0.42524,0.92507,0.000301408,0.000301408,0.000301408
58,1298.14,0.82777,0.53397,0.95506,0.96386,0.94956,0.9813,0.77982,0.79147,0.41254,0.92184,0.000299343,0.000299343,0.000299343
59,1321.13,0.82792,0.53621,0.95035,0.95509,0.95109,0.98169,0.78633,0.78454,0.41827,0.92013,0.000297279,0.000297279,0.000297279
60,1343.88,0.82583,0.53097,0.95409,0.96002,0.95546,0.98103,0.7856,0.78146,0.41064,0.91872,0.000295215,0.000295215,0.000295215
61,1366.69,0.82128,0.53277,0.95337,0.95656,0.95605,0.9793,0.78081,0.78039,0.41154,0.91888,0.000293151,0.000293151,0.000293151
62,1389.29,0.81531,0.52675,0.95254,0.95506,0.95704,0.97711,0.78144,0.77764,0.41657,0.91737,0.000291087,0.000291087,0.000291087
63,1412.03,0.81783,0.52504,0.94777,0.95285,0.94926,0.97767,0.78292,0.78154,0.41592,0.92026,0.000289023,0.000289023,0.000289023
64,1434.98,0.81399,0.51348,0.94987,0.95426,0.9585,0.97917,0.78222,0.78003,0.41072,0.9216,0.000286959,0.000286959,0.000286959
65,1458.64,0.8095,0.51027,0.94656,0.95238,0.95069,0.97854,0.7808,0.78516,0.41755,0.92165,0.000284894,0.000284894,0.000284894
66,1480.25,0.81553,0.5195,0.94992,0.95073,0.95408,0.96988,0.77719,0.78233,0.42418,0.92002,0.00028283,0.00028283,0.00028283
67,1501.85,0.80661,0.50556,0.94419,0.95698,0.95224,0.97915,0.78774,0.78374,0.41,0.92106,0.000280766,0.000280766,0.000280766
68,1523.78,0.81419,0.52261,0.94874,0.95134,0.95636,0.97617,0.77698,0.7892,0.41428,0.92573,0.000278702,0.000278702,0.000278702
69,1545.88,0.80337,0.50112,0.94586,0.94984,0.94627,0.97754,0.78672,0.77334,0.41004,0.91527,0.000276638,0.000276638,0.000276638
70,1568.01,0.81105,0.50597,0.9506,0.96574,0.94484,0.98311,0.78694,0.77976,0.39995,0.91983,0.000274574,0.000274574,0.000274574
71,1590.2,0.80447,0.4954,0.94344,0.95742,0.94387,0.97771,0.78342,0.77938,0.40709,0.91857,0.000272509,0.000272509,0.000272509
72,1612.11,0.80116,0.49656,0.94084,0.95573,0.96205,0.97565,0.78456,0.78445,0.40933,0.91973,0.000270445,0.000270445,0.000270445
73,1634.16,0.80081,0.4971,0.94222,0.95262,0.95471,0.97828,0.77938,0.78763,0.40732,0.92433,0.000268381,0.000268381,0.000268381
74,1656,0.80643,0.49127,0.94126,0.95559,0.95913,0.98064,0.78731,0.77632,0.40303,0.91967,0.000266317,0.000266317,0.000266317
75,1677.88,0.80065,0.48976,0.94408,0.96019,0.95007,0.97615,0.78537,0.77645,0.41097,0.92099,0.000264253,0.000264253,0.000264253
