epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2291,1.35807,3.65129,1.17781,0.1541,0.34277,0.17749,0.12405,1.06893,2.30313,1.09817,0.000138178,0.000138178,0.000138178
2,53.5986,1.20348,2.34024,1.10379,0.34318,0.52547,0.43172,0.30491,1.02153,1.51188,1.02909,0.000275805,0.000275805,0.000275805
3,77.2443,1.12876,1.86865,1.07457,0.47719,0.71347,0.62404,0.45721,0.94872,1.37338,0.99114,0.000412057,0.000412057,0.000412057
4,99.9104,1.08457,1.57284,1.0547,0.61271,0.72178,0.70807,0.51961,0.94692,1.13269,1.02331,0.000410808,0.000410808,0.000410808
5,122.442,1.06214,1.4461,1.04684,0.69287,0.77387,0.79105,0.5816,0.93774,0.9946,1.00739,0.000408743,0.000408743,0.000408743
6,145.007,1.02999,1.2827,1.03734,0.72228,0.7856,0.81891,0.61538,0.90036,0.9407,0.99506,0.000406679,0.000406679,0.000406679
7,167.664,1.00848,1.18791,1.03143,0.8093,0.81097,0.87554,0.65699,0.87769,0.82416,0.98072,0.000404615,0.000404615,0.000404615
8,190.069,1.00415,1.11224,1.03368,0.84633,0.8299,0.89351,0.67561,0.86689,0.73785,0.97332,0.000402551,0.000402551,0.000402551
9,212.742,0.98419,1.06667,1.03166,0.84931,0.86071,0.90348,0.6836,0.87144,0.69678,0.98745,0.000400487,0.000400487,0.000400487
10,235.419,0.98184,0.99979,1.02703,0.844,0.87382,0.92223,0.70643,0.86381,0.70036,0.9728,0.000398423,0.000398423,0.000398423
11,257.845,0.95888,0.94934,1.01384,0.85818,0.83879,0.89268,0.687,0.84828,0.7114,0.96822,0.000396358,0.000396358,0.000396358
12,280.454,0.96208,0.92189,1.01684,0.88138,0.89113,0.93674,0.72502,0.83493,0.61649,0.96662,0.000394294,0.000394294,0.000394294
13,303.322,0.95216,0.87403,1.01428,0.88232,0.86356,0.91616,0.70378,0.85521,0.65307,0.97479,0.00039223,0.00039223,0.00039223
14,326.066,0.93268,0.83838,1.00616,0.8728,0.89244,0.93534,0.7245,0.83471,0.61012,0.96812,0.000390166,0.000390166,0.000390166
15,348.979,0.93153,0.81832,1.00941,0.90424,0.88729,0.94055,0.7347,0.81616,0.60478,0.96358,0.000388102,0.000388102,0.000388102
16,371.946,0.93343,0.80181,1.00595,0.88923,0.89435,0.9461,0.73194,0.83812,0.57705,0.96945,0.000386038,0.000386038,0.000386038
17,394.981,0.91975,0.77095,1.00523,0.89736,0.88796,0.94343,0.73032,0.836,0.57997,0.9729,0.000383974,0.000383974,0.000383974
18,417.819,0.92226,0.75485,1.00225,0.90538,0.88752,0.94877,0.73945,0.82535,0.58383,0.97127,0.000381909,0.000381909,0.000381909
19,440.815,0.90608,0.73644,0.99983,0.90808,0.90266,0.94489,0.74021,0.81278,0.54727,0.96186,0.000379845,0.000379845,0.000379845
20,463.702,0.89791,0.71027,0.99978,0.92349,0.91002,0.95945,0.75138,0.80881,0.5323,0.96109,0.000377781,0.000377781,0.000377781
21,486.28,0.90189,0.70419,1.00032,0.93334,0.92725,0.96874,0.75553,0.81901,0.51274,0.96606,0.000375717,0.000375717,0.000375717
22,509.267,0.89302,0.68803,0.99392,0.93398,0.91345,0.96224,0.75228,0.81255,0.5165,0.96298,0.000373653,0.000373653,0.000373653
23,531.89,0.88845,0.67797,0.9944,0.93166,0.91413,0.96121,0.7543,0.81413,0.51797,0.9696,0.000371589,0.000371589,0.000371589
24,554.681,0.88774,0.67585,0.99512,0.92043,0.91929,0.95809,0.75222,0.80707,0.51622,0.96594,0.000369525,0.000369525,0.000369525
25,577.434,0.89518,0.65693,0.99377,0.93158,0.91347,0.96176,0.75767,0.80736,0.5038,0.9583,0.00036746,0.00036746,0.00036746
26,600.17,0.89225,0.655,0.99777,0.93702,0.93036,0.96764,0.75428,0.82592,0.47976,0.96695,0.000365396,0.000365396,0.000365396
27,622.908,0.8746,0.6256,0.98744,0.94085,0.92576,0.97036,0.76678,0.79707,0.47913,0.9568,0.000363332,0.000363332,0.000363332
28,645.69,0.87523,0.62937,0.99003,0.93901,0.89687,0.96391,0.76174,0.7991,0.49953,0.96238,0.000361268,0.000361268,0.000361268
29,668.842,0.87489,0.62632,0.98646,0.93143,0.93325,0.96642,0.75969,0.79307,0.47489,0.95846,0.000359204,0.000359204,0.000359204
30,692.072,0.87155,0.61507,0.99167,0.93207,0.92621,0.96164,0.76343,0.79213,0.47096,0.95659,0.00035714,0.00035714,0.00035714
31,715.112,0.86601,0.61886,0.98477,0.93681,0.92856,0.97054,0.76492,0.80386,0.4707,0.96352,0.000355076,0.000355076,0.000355076
32,738.005,0.85774,0.58815,0.97768,0.94994,0.91897,0.9682,0.76276,0.80107,0.46837,0.96106,0.000353011,0.000353011,0.000353011
33,760.917,0.85475,0.60079,0.98277,0.9241,0.94221,0.96647,0.76314,0.79772,0.46972,0.95914,0.000350947,0.000350947,0.000350947
34,783.672,0.85036,0.58315,0.97677,0.94964,0.93264,0.97034,0.75609,0.81081,0.46245,0.9651,0.000348883,0.000348883,0.000348883
35,806.465,0.84476,0.58285,0.97487,0.94023,0.93576,0.96905,0.76329,0.79705,0.45188,0.9652,0.000346819,0.000346819,0.000346819
36,829.122,0.85258,0.58455,0.97839,0.95198,0.92281,0.97014,0.76934,0.79585,0.4495,0.96068,0.000344755,0.000344755,0.000344755
37,851.823,0.83592,0.56682,0.97667,0.94146,0.93792,0.9725,0.76525,0.79925,0.45066,0.96076,0.000342691,0.000342691,0.000342691
38,874.567,0.84419,0.56157,0.97653,0.94605,0.93358,0.9729,0.77295,0.78811,0.44179,0.95303,0.000340626,0.000340626,0.000340626
39,897.422,0.84772,0.56249,0.97595,0.94329,0.92308,0.96733,0.76451,0.79439,0.46068,0.96126,0.000338562,0.000338562,0.000338562
40,920.009,0.8328,0.55437,0.97363,0.94195,0.93568,0.97307,0.76412,0.81668,0.45089,0.97055,0.000336498,0.000336498,0.000336498
41,943.05,0.83346,0.54892,0.97519,0.94708,0.94466,0.9753,0.77718,0.78782,0.43437,0.95431,0.000334434,0.000334434,0.000334434
42,965.521,0.83097,0.55625,0.97354,0.95003,0.93347,0.96719,0.77223,0.78217,0.43955,0.95225,0.00033237,0.00033237,0.00033237
43,988.126,0.82613,0.5444,0.96867,0.94649,0.9454,0.972,0.77155,0.80004,0.43076,0.956,0.000330306,0.000330306,0.000330306
44,1011.08,0.8291,0.53621,0.97331,0.94915,0.94466,0.97518,0.77968,0.78023,0.42584,0.9503,0.000328242,0.000328242,0.000328242
45,1033.87,0.81954,0.53498,0.97034,0.95,0.93629,0.97467,0.77421,0.79192,0.42386,0.96066,0.000326177,0.000326177,0.000326177
46,1056.34,0.82379,0.52959,0.97175,0.94837,0.94938,0.97852,0.78382,0.77645,0.41805,0.94767,0.000324113,0.000324113,0.000324113
47,1078.91,0.82127,0.5211,0.9697,0.94365,0.94342,0.97545,0.7787,0.78369,0.42244,0.95523,0.000322049,0.000322049,0.000322049
48,1101.56,0.80884,0.5099,0.96717,0.95947,0.9351,0.97716,0.78127,0.77821,0.41311,0.95112,0.000319985,0.000319985,0.000319985
49,1124.21,0.81548,0.52257,0.96929,0.94954,0.93696,0.9747,0.77811,0.78003,0.42329,0.95444,0.000317921,0.000317921,0.000317921
50,1147.12,0.8045,0.51656,0.96807,0.9596,0.94268,0.97448,0.77968,0.77966,0.42314,0.95519,0.000315857,0.000315857,0.000315857
51,1169.77,0.81082,0.5273,0.97026,0.94189,0.94946,0.97528,0.78105,0.77826,0.41543,0.95385,0.000313792,0.000313792,0.000313792
52,1192.18,0.81038,0.51199,0.96797,0.95862,0.94588,0.9775,0.77951,0.77958,0.41572,0.95329,0.000311728,0.000311728,0.000311728
53,1215.04,0.79928,0.50099,0.96165,0.96397,0.94919,0.98143,0.78355,0.77489,0.40353,0.95568,0.000309664,0.000309664,0.000309664
54,1237.65,0.80395,0.49781,0.96332,0.95049,0.95027,0.97777,0.78206,0.77475,0.40266,0.9563,0.0003076,0.0003076,0.0003076
55,1260.18,0.80662,0.50104,0.96549,0.96295,0.95264,0.9813,0.78943,0.76891,0.39649,0.95103,0.000305536,0.000305536,0.000305536
56,1282.85,0.79727,0.49376,0.96213,0.96456,0.94005,0.9793,0.78183,0.77511,0.40261,0.95106,0.000303472,0.000303472,0.000303472
57,1305.75,0.79876,0.49634,0.96198,0.94763,0.94443,0.96849,0.77795,0.76506,0.41287,0.94815,0.000301408,0.000301408,0.000301408
